Date,WHEAT_US_HRW
12/1/1991,160.94
1/1/1992,170.12
2/1/1992,177.1
3/1/1992,169.39
4/1/1992,159.83
5/1/1992,149.55
6/1/1992,148.81
7/1/1992,136.32
8/1/1992,128.24
9/1/1992,138.89
10/1/1992,140.73
11/1/1992,147.71
12/1/1992,147.71
1/1/1993,155.79
2/1/1993,148.81
3/1/1993,148.08
4/1/1993,141.83
5/1/1993,136.69
6/1/1993,121.99
7/1/1993,127.5
8/1/1993,129.71
9/1/1993,131.17
10/1/1993,135.95
11/1/1993,146.61
12/1/1993,158.73
1/1/1994,153.22
2/1/1994,146.97
3/1/1994,141.1
4/1/1994,140.36
5/1/1994,139.99
6/1/1994,139.26
7/1/1994,137.42
8/1/1994,145.87
9/1/1994,158.73
10/1/1994,167.18
11/1/1994,162.04
12/1/1994,164.61
1/1/1995,156.16
2/1/1995,154.32
3/1/1995,150.28
4/1/1995,148.81
5/1/1995,158.73
6/1/1995,170.12
7/1/1995,190.7
8/1/1995,184.45
9/1/1995,193.64
10/1/1995,203.73
11/1/1995,203.93
12/1/1995,208.92
1/1/1996,206.88
2/1/1996,218.89
3/1/1996,215.32
4/1/1996,257.61
5/1/1996,262.11
6/1/1996,227.34
7/1/1996,202.6
8/1/1996,191.63
9/1/1996,178.71
10/1/1996,178
11/1/1996,176.41
12/1/1996,175.7
1/1/1997,175.73
2/1/1997,172.35
3/1/1997,176.61
4/1/1997,183.49
5/1/1997,172.59
6/1/1997,148.39
7/1/1997,136.21
8/1/1997,150.61
9/1/1997,151.74
10/1/1997,151.59
11/1/1997,149.88
12/1/1997,144.62
1/1/1998,137.1
2/1/1998,140.05
3/1/1998,138.92
4/1/1998,130.15
5/1/1998,128.92
6/1/1998,120.64
7/1/1998,118.9
8/1/1998,107.95
9/1/1998,107.93
10/1/1998,126.54
11/1/1998,130.21
12/1/1998,126.21
1/1/1999,125.29
2/1/1999,117.03
3/1/1999,117.34
4/1/1999,113.87
5/1/1999,113
6/1/1999,111.41
7/1/1999,103.02
8/1/1999,111.3
9/1/1999,113.19
10/1/1999,108.1
11/1/1999,108.8
12/1/1999,102.16
1/1/2000,105.83
2/1/2000,107.93
3/1/2000,105.7
4/1/2000,105.11
5/1/2000,112.14
6/1/2000,113.51
7/1/2000,108.98
8/1/2000,108.36
9/1/2000,117.49
10/1/2000,128.18
11/1/2000,127.73
12/1/2000,128.09
1/1/2001,132.84
2/1/2001,128.11
3/1/2001,130.2
4/1/2001,129.67
5/1/2001,134.86
6/1/2001,127.23
7/1/2001,123.79
8/1/2001,121.92
9/1/2001,122.03
10/1/2001,123.34
11/1/2001,125.27
12/1/2001,122.44
1/1/2002,125.31
2/1/2002,123.28
3/1/2002,122.54
4/1/2002,123.72
5/1/2002,121.46
6/1/2002,132.03
7/1/2002,149.31
8/1/2002,161.26
9/1/2002,187.84
10/1/2002,190.32
11/1/2002,177.38
12/1/2002,162.48
1/1/2003,149.608
2/1/2003,150.8382
3/1/2003,141.8087
4/1/2003,138.6155
5/1/2003,141.9618
6/1/2003,131.3528
7/1/2003,131.6174
8/1/2003,148.7172
9/1/2003,145.623
10/1/2003,147.4558
11/1/2003,160.5453
12/1/2003,165.5735
1/1/2004,166.3271387
2/1/2004,161.3914672
3/1/2004,166.2798042
4/1/2004,166.5844267
5/1/2004,163.7343865
6/1/2004,154.7433417
7/1/2004,150.6009303
8/1/2004,141.2948085
9/1/2004,151.0348555
10/1/2004,150.1460087
11/1/2004,156.5686684
12/1/2004,153.8743247
1/1/2005,153.5931336
2/1/2005,151.1686798
3/1/2005,150.985864
4/1/2005,140.8769805
5/1/2005,143.3300579
6/1/2005,141.9307762
7/1/2005,143.8698399
8/1/2005,149.3590247
9/1/2005,159.7086581
10/1/2005,167.8267127
11/1/2005,161.1163516
12/1/2005,164.441046
1/1/2006,167.1607337
2/1/2006,179.8409259
3/1/2006,174.4359804
4/1/2006,180.3460546
5/1/2006,193.1667223
6/1/2006,195.1640032
7/1/2006,202.4286135
8/1/2006,189.9146689
9/1/2006,195.9815499
10/1/2006,212.0940866
11/1/2006,209.6806537
12/1/2006,204.3062876
1/1/2007,196.066157
2/1/2007,199.9822587
3/1/2007,199.0982004
4/1/2007,198.3077916
5/1/2007,195.7212822
6/1/2007,223.0391802
7/1/2007,238.4067098
8/1/2007,259.7273079
9/1/2007,326.544863
10/1/2007,335.146203
11/1/2007,321.8133098
12/1/2007,368.6200623
1/1/2008,370.660957
2/1/2008,424.9956591
3/1/2008,439.7160918
4/1/2008,362.2292471
5/1/2008,328.7617127
6/1/2008,348.5530782
7/1/2008,328.1836044
8/1/2008,329.3441505
9/1/2008,295.5503342
10/1/2008,237.3840776
11/1/2008,226.8462327
12/1/2008,220.1354096
1/1/2009,239.1142672
2/1/2009,224.6875421
3/1/2009,230.9817327
4/1/2009,233.4731285
5/1/2009,261.4817346
6/1/2009,256.6449315
7/1/2009,224.8503833
8/1/2009,210.3729081
9/1/2009,191.0933295
10/1/2009,198.8488684
11/1/2009,211.0383493
12/1/2009,206.2514056
1/1/2010,201.190932
2/1/2010,194
3/1/2010,191.0750718
4/1/2010,192.87
5/1/2010,181.605589
6/1/2010,157.6720985
7/1/2010,195.8176906
8/1/2010,246.2472245
9/1/2010,271.6735975
10/1/2010,270.2321959
11/1/2010,274.0807608
12/1/2010,306.5201044
1/1/2011,326.5565676
2/1/2011,348.1203485
3/1/2011,316.7465707
4/1/2011,336.1242956
5/1/2011,355.2778856
6/1/2011,326.4299292
7/1/2011,303.8839298
8/1/2011,327.0665895
9/1/2011,315.9162291
10/1/2011,289.0108358
11/1/2011,281.0064022
12/1/2011,269.0300071
1/1/2012,274.8931741
2/1/2012,277.7729593
3/1/2012,283.8782541
4/1/2012,266.3239218
5/1/2012,264.358724
6/1/2012,276.1899195
7/1/2012,345.6879468
8/1/2012,349.4003507
9/1/2012,353.4209238
10/1/2012,358.195667
11/1/2012,360.8228394
12/1/2012,347.9625549
1/1/2013,335.4697071
2/1/2013,318.9350556
3/1/2013,309.7491381
4/1/2013,308.2793913
5/1/2013,319.669929
6/1/2013,313.4235051
7/1/2013,304.6050243
8/1/2013,305.3398977
9/1/2013,307.5077742
10/1/2013,325.686705
11/1/2013,306.7516282
12/1/2013,291.5566472
1/1/2014,275.577525
2/1/2014,292.1121765
3/1/2014,323.7117327
4/1/2014,324.8140428
5/1/2014,334.7348337
6/1/2014,306.4422078
7/1/2014,280.3542021
8/1/2014,263.4521139
9/1/2014,243.6105321
10/1/2014,245.4477156
11/1/2014,258.6754368
12/1/2014,269.6985378
1/1/2015,248.3872092
2/1/2015,236.9966715
3/1/2015,230.7502476
4/1/2015,223.4015136
5/1/2015,215.3179062
6/1/2015,209.8063557
7/1/2015,197.3135079
8/1/2015,179.6765463
9/1/2015,172.695249
10/1/2015,172.7099465
11/1/2015,177.1044894
12/1/2015,189.2299005
1/1/2016,193.2717042
2/1/2016,187.0252803
3/1/2016,191.067084
4/1/2016,187.392717
5/1/2016,171.9603756
6/1/2016,173.0626857
7/1/2016,151.7513571
8/1/2016,149.1793002
9/1/2016,150.649047
10/1/2016,151.7513571
11/1/2016,150.649047
12/1/2016,141.8305662
1/1/2017,153.2211039
2/1/2017,155.0582874
3/1/2017,154.323414
4/1/2017,166.0813884
5/1/2017,180.4114197
6/1/2017,189.5973372
7/1/2017,202.4576217
8/1/2017,171.2255022
9/1/2017,178.5742362
10/1/2017,175.6347426
11/1/2017,179.6765463
12/1/2017,184.0857867
1/1/2018,192.1693941
2/1/2018,192.1693941
3/1/2018,192.1693941
4/1/2018,213.8481594
5/1/2018,213.8481594
6/1/2018,219.3597099
7/1/2018,218.2573998
8/1/2018,236.6292348
9/1/2018,212.3784126
10/1/2018,213.4807227
11/1/2018,203.5599318
12/1/2018,211.2761025
1/1/2019,209.8063557
2/1/2019,218.9922732
3/1/2019,205.764552
4/1/2019,199.5181281
5/1/2019,199.5181281
6/1/2019,206.1319887
7/1/2019,196.2111978
8/1/2019,181.1462931
9/1/2019,189.5973372
10/1/2019,199.5181281
11/1/2019,203.1924951
12/1/2019,210.9086658
1/1/2020,224.5038237
2/1/2020,215.3179062
3/1/2020,209.0714823
4/1/2020,218.9922732
5/1/2020,205.764552
6/1/2020,198.415818
7/1/2020,222.13
8/1/2020,223
9/1/2020,247.68
10/1/2020,272.36
11/1/2020,273
12/1/2020,268.55
1/1/2021,289.3
2/1/2021,289.4
3/1/2021,273.13
4/1/2021,280.95
5/1/2021,297.25
6/1/2021,285.55
7/1/2021,294.27
8/1/2021,324.52
9/1/2021,337.55
10/1/2021,354.67
11/1/2021,379.45
12/1/2021,376.81
1/1/2022,374.24
2/1/2022,390.5
3/1/2022,486.3
4/1/2022,495.28
